roman,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1865 La confession de Claude.,17,4,2,0,0,0,0,2,5,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,27
1866 Le voeu d une morte.,5,11,2,1,0,2,1,7,1,3,1,0,0,2,0,2,0,2,1,0,0,0,1,1,4,2,1,7,1,0,0,2,0
1867 Les mysteres de Marseille.,6,6,2,3,24,27,10,11,9,3,23,2,1,2,1,8,1,3,3,5,3,5,0,0,11,2,0,2,2,0,7,2,0
1867 Therese Raquin.,8,17,3,0,2,1,2,4,11,4,0,0,3,1,1,3,0,0,0,1,0,3,2,0,4,5,0,0,1,1,1,2,0
1868 Madeleine Ferat.,16,40,5,1,3,1,6,6,1,7,1,1,2,2,1,2,0,0,0,4,0,2,0,1,6,2,0,5,1,1,1,3,3
Au Bonheur des dames.,4,10,5,0,1,6,11,5,3,4,1,17,1,9,7,4,14,16,7,13,0,2,14,0,2,3,7,6,11,6,9,0,0
Fecondite.,13,27,5,16,5,8,18,15,6,9,0,3,5,21,5,5,5,15,5,5,4,3,2,17,11,4,2,12,0,1,6,3,3
Germinal.,9,10,6,13,4,10,7,1,12,2,5,21,12,2,33,13,6,1,18,3,0,4,5,3,1,10,1,3,2,0,6,2,0
L argent.,3,3,2,6,7,11,7,6,3,1,0,8,1,10,4,8,5,3,6,10,3,1,4,6,5,3,1,2,1,24,1,0,0
L assommoir.,12,6,1,0,1,4,4,2,13,15,1,18,22,10,9,2,51,1,13,7,0,9,6,1,4,3,5,1,2,0,4,1,0
L oeuvre.,7,18,2,3,2,9,6,6,2,3,0,10,8,7,13,12,10,3,8,6,0,0,3,1,1,1,1,5,3,1,5,7,0
La bete humaine.,20,17,3,1,2,3,3,2,10,4,3,6,3,3,10,2,3,2,10,3,10,0,5,1,3,12,2,5,0,0,4,2,0
La conquete de Plassans.,5,3,0,0,37,6,4,8,3,8,2,5,3,6,1,8,6,22,5,5,0,5,0,0,2,6,3,2,0,0,9,1,0
La curee.,14,12,14,1,2,7,13,0,1,6,1,3,0,11,1,4,1,4,2,5,0,1,3,0,2,0,2,3,5,3,2,0,0
La debacle.,11,8,6,2,6,4,5,6,13,7,76,17,7,2,11,4,1,2,2,3,0,2,1,2,3,13,0,2,0,0,1,4,0
La faute de l abbe Mouret.,28,23,17,0,3,4,2,11,14,4,0,3,3,1,2,2,5,5,5,0,0,2,1,8,3,5,4,3,4,0,4,3,2
La fortune des Rougon.,8,9,12,4,4,5,20,2,5,6,15,6,1,3,3,16,1,3,4,4,0,1,2,2,5,6,1,2,0,0,4,0,0
La joie de vivre.,19,20,3,2,1,0,9,3,6,8,0,4,4,2,2,1,13,3,3,0,0,29,0,3,4,15,2,6,0,0,1,1,0
La terre.,17,5,3,11,5,6,12,1,22,9,3,41,7,5,16,6,4,2,16,5,1,2,2,2,3,5,1,2,1,0,3,4,0
Le docteur Pascal.,17,21,9,2,3,5,6,8,6,5,0,2,1,2,2,2,0,4,0,5,5,2,1,4,8,3,2,4,2,1,3,0,0
Le reve.,4,24,7,1,0,0,2,4,4,1,0,1,0,3,2,0,2,0,0,1,0,0,0,7,3,1,3,2,3,0,1,5,1
Le ventre de Paris.,7,3,5,2,2,5,7,0,4,9,1,5,17,5,3,7,7,4,8,3,2,2,10,0,2,5,3,2,5,0,1,0,0
Lourdes.,2,20,10,13,6,0,1,16,6,8,3,2,4,5,9,5,3,11,10,3,7,6,9,16,2,7,1,6,1,0,3,2,1
Nana.,22,10,6,0,6,6,5,3,6,13,0,15,7,28,0,5,11,5,22,14,0,4,13,0,2,4,2,5,2,2,5,2,0
Paris.,14,13,9,17,20,10,13,7,1,8,2,2,3,6,8,12,1,6,8,4,4,1,5,7,3,8,0,3,1,2,6,2,0
Pot-bouille.,12,3,0,0,3,14,8,3,15,20,0,10,4,17,2,6,8,7,3,28,1,3,2,0,7,5,4,6,2,0,13,1,0
Rome.,3,15,32,28,36,1,6,8,3,4,1,2,1,11,1,16,0,2,3,4,4,0,3,17,4,5,1,9,3,3,2,2,1
Son Excellence Eugene Rougon.,0,9,5,2,18,23,4,0,6,11,5,8,3,9,1,24,5,8,12,3,1,1,3,1,1,1,6,6,3,2,10,0,0
Travail.,14,17,7,40,4,8,12,7,5,3,3,9,2,1,10,6,2,4,3,2,3,1,4,18,8,3,1,6,1,0,1,3,0
Une page d amour.,6,30,13,0,1,3,1,2,11,14,0,2,3,4,0,0,9,11,5,12,0,16,2,0,2,0,5,8,1,0,4,1,0
Verite.,22,8,2,36,8,10,21,6,5,7,0,5,3,9,1,7,2,5,2,5,21,7,2,4,10,3,0,8,0,1,7,0,0
