roman,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1865 La confession de Claude.,0.26153846153846155,0.06153846153846154,0.03076923076923077,0.0,0.0,0.0,0.0,0.03076923076923077,0.07692307692307693,0.015384615384615385,0.0,0.0,0.015384615384615385,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03076923076923077,0.0,0.015384615384615385,0.0,0.0,0.015384615384615385,0.4153846153846154
1866 Le voeu d une morte.,0.08333333333333333,0.18333333333333332,0.03333333333333333,0.016666666666666666,0.0,0.03333333333333333,0.016666666666666666,0.11666666666666667,0.016666666666666666,0.05,0.016666666666666666,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,0.016666666666666666,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.06666666666666667,0.03333333333333333,0.016666666666666666,0.11666666666666667,0.016666666666666666,0.0,0.0,0.03333333333333333,0.0
1867 Les mysteres de Marseille.,0.03260869565217391,0.03260869565217391,0.010869565217391304,0.016304347826086956,0.13043478260869565,0.14673913043478262,0.05434782608695652,0.059782608695652176,0.04891304347826087,0.016304347826086956,0.125,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.043478260869565216,0.005434782608695652,0.016304347826086956,0.016304347826086956,0.02717391304347826,0.016304347826086956,0.02717391304347826,0.0,0.0,0.059782608695652176,0.010869565217391304,0.0,0.010869565217391304,0.010869565217391304,0.0,0.03804347826086957,0.010869565217391304,0.0
1867 Therese Raquin.,0.1,0.2125,0.0375,0.0,0.025,0.0125,0.025,0.05,0.1375,0.05,0.0,0.0,0.0375,0.0125,0.0125,0.0375,0.0,0.0,0.0,0.0125,0.0,0.0375,0.025,0.0,0.05,0.0625,0.0,0.0,0.0125,0.0125,0.0125,0.025,0.0
1868 Madeleine Ferat.,0.12903225806451613,0.3225806451612903,0.04032258064516129,0.008064516129032258,0.024193548387096774,0.008064516129032258,0.04838709677419355,0.04838709677419355,0.008064516129032258,0.056451612903225805,0.008064516129032258,0.008064516129032258,0.016129032258064516,0.016129032258064516,0.008064516129032258,0.016129032258064516,0.0,0.0,0.0,0.03225806451612903,0.0,0.016129032258064516,0.0,0.008064516129032258,0.04838709677419355,0.016129032258064516,0.0,0.04032258064516129,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.024193548387096774,0.024193548387096774
Au Bonheur des dames.,0.020202020202020204,0.050505050505050504,0.025252525252525252,0.0,0.005050505050505051,0.030303030303030304,0.05555555555555555,0.025252525252525252,0.015151515151515152,0.020202020202020204,0.005050505050505051,0.08585858585858586,0.005050505050505051,0.045454545454545456,0.03535353535353535,0.020202020202020204,0.0707070707070707,0.08080808080808081,0.03535353535353535,0.06565656565656566,0.0,0.010101010101010102,0.0707070707070707,0.0,0.010101010101010102,0.015151515151515152,0.03535353535353535,0.030303030303030304,0.05555555555555555,0.030303030303030304,0.045454545454545456,0.0,0.0
Fecondite.,0.05019305019305019,0.10424710424710425,0.019305019305019305,0.06177606177606178,0.019305019305019305,0.03088803088803089,0.0694980694980695,0.05791505791505792,0.023166023166023165,0.03474903474903475,0.0,0.011583011583011582,0.019305019305019305,0.08108108108108109,0.019305019305019305,0.019305019305019305,0.019305019305019305,0.05791505791505792,0.019305019305019305,0.019305019305019305,0.015444015444015444,0.011583011583011582,0.007722007722007722,0.06563706563706563,0.04247104247104247,0.015444015444015444,0.007722007722007722,0.04633204633204633,0.0,0.003861003861003861,0.023166023166023165,0.011583011583011582,0.011583011583011582
Germinal.,0.04,0.044444444444444446,0.02666666666666667,0.057777777777777775,0.017777777777777778,0.044444444444444446,0.03111111111111111,0.0044444444444444444,0.05333333333333334,0.008888888888888889,0.022222222222222223,0.09333333333333334,0.05333333333333334,0.008888888888888889,0.14666666666666667,0.057777777777777775,0.02666666666666667,0.0044444444444444444,0.08,0.013333333333333334,0.0,0.017777777777777778,0.022222222222222223,0.013333333333333334,0.0044444444444444444,0.044444444444444446,0.0044444444444444444,0.013333333333333334,0.008888888888888889,0.0,0.02666666666666667,0.008888888888888889,0.0
L argent.,0.01935483870967742,0.01935483870967742,0.012903225806451613,0.03870967741935484,0.04516129032258064,0.07096774193548387,0.04516129032258064,0.03870967741935484,0.01935483870967742,0.0064516129032258064,0.0,0.05161290322580645,0.0064516129032258064,0.06451612903225806,0.025806451612903226,0.05161290322580645,0.03225806451612903,0.01935483870967742,0.03870967741935484,0.06451612903225806,0.01935483870967742,0.0064516129032258064,0.025806451612903226,0.03870967741935484,0.03225806451612903,0.01935483870967742,0.0064516129032258064,0.012903225806451613,0.0064516129032258064,0.15483870967741936,0.0064516129032258064,0.0,0.0
L assommoir.,0.05263157894736842,0.02631578947368421,0.0043859649122807015,0.0,0.0043859649122807015,0.017543859649122806,0.017543859649122806,0.008771929824561403,0.05701754385964912,0.06578947368421052,0.0043859649122807015,0.07894736842105263,0.09649122807017543,0.043859649122807015,0.039473684210526314,0.008771929824561403,0.2236842105263158,0.0043859649122807015,0.05701754385964912,0.03070175438596491,0.0,0.039473684210526314,0.02631578947368421,0.0043859649122807015,0.017543859649122806,0.013157894736842105,0.021929824561403508,0.0043859649122807015,0.008771929824561403,0.0,0.017543859649122806,0.0043859649122807015,0.0
L oeuvre.,0.04294478527607362,0.11042944785276074,0.012269938650306749,0.018404907975460124,0.012269938650306749,0.05521472392638037,0.03680981595092025,0.03680981595092025,0.012269938650306749,0.018404907975460124,0.0,0.06134969325153374,0.049079754601226995,0.04294478527607362,0.07975460122699386,0.0736196319018405,0.06134969325153374,0.018404907975460124,0.049079754601226995,0.03680981595092025,0.0,0.0,0.018404907975460124,0.006134969325153374,0.006134969325153374,0.006134969325153374,0.006134969325153374,0.03067484662576687,0.018404907975460124,0.006134969325153374,0.03067484662576687,0.04294478527607362,0.0
La bete humaine.,0.12987012987012986,0.11038961038961038,0.01948051948051948,0.006493506493506494,0.012987012987012988,0.01948051948051948,0.01948051948051948,0.012987012987012988,0.06493506493506493,0.025974025974025976,0.01948051948051948,0.03896103896103896,0.01948051948051948,0.01948051948051948,0.06493506493506493,0.012987012987012988,0.01948051948051948,0.012987012987012988,0.06493506493506493,0.01948051948051948,0.06493506493506493,0.0,0.032467532467532464,0.006493506493506494,0.01948051948051948,0.07792207792207792,0.012987012987012988,0.032467532467532464,0.0,0.0,0.025974025974025976,0.012987012987012988,0.0
La conquete de Plassans.,0.030303030303030304,0.01818181818181818,0.0,0.0,0.22424242424242424,0.03636363636363636,0.024242424242424242,0.048484848484848485,0.01818181818181818,0.048484848484848485,0.012121212121212121,0.030303030303030304,0.01818181818181818,0.03636363636363636,0.006060606060606061,0.048484848484848485,0.03636363636363636,0.13333333333333333,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.0,0.0,0.012121212121212121,0.03636363636363636,0.01818181818181818,0.012121212121212121,0.0,0.0,0.05454545454545454,0.006060606060606061,0.0
