min_cluster_size,min_samples,n_components,n_neighbors,n_documents,n_assigned,n_topics,outlier_rate,coverage,silhouette_umap,dbcv,coherence_cv,topic_diversity,min_topic_size_observed,median_topic_size,max_topic_size_observed,largest_topic_share,duration_seconds,status,error
184,1,5,40,61432,14850,22,0.7582693058992056,0.2417306941007944,0.4024953652479654,-0.0861293283087661,0.5933493043979744,0.9227272727272727,196,443.5,2596,0.1748148148148148,221.6518088999983,ok,
184,1,5,50,61432,15019,22,0.75551829665321,0.24448170334678998,0.3786446813402454,-0.0731421053171067,0.5957537581087451,0.9090909090909091,193,438.0,2106,0.14022238497902656,185.32449199999974,ok,
184,1,5,60,61432,16525,17,0.7310033858575335,0.26899661414246645,0.40110035636770697,-0.0912989505112021,0.6103917493560759,0.9647058823529412,185,538.0,5378,0.325446293494705,190.0190459000005,ok,
184,1,10,40,61432,14564,21,0.7629248600078136,0.23707513999218643,0.38795084550934494,-0.012320128473429986,0.5768772641955833,0.9380952380952381,192,502.0,1994,0.1369129360065916,184.9832349999997,ok,
184,1,10,50,61432,16548,14,0.7306289881494986,0.2693710118505014,0.3987112269037111,-0.05144930647883831,0.6032032833310046,0.9785714285714285,234,755.0,5695,0.34415035049552817,244.004952700001,ok,
184,1,10,60,61432,14223,21,0.7684757129834614,0.2315242870165386,0.3993375038600072,-0.036760201769458004,0.5586725016529501,0.9428571428571428,191,456.0,2456,0.17267805666877592,416.9720395000004,ok,
184,1,15,40,61432,13568,19,0.7791379085818466,0.22086209141815338,0.4075547233662916,-0.013979825676603986,0.5814739564544308,0.9631578947368421,214,557.0,2370,0.17467570754716982,248.0945604999979,ok,
184,1,15,50,61432,14246,20,0.7681013152754265,0.23189868472457353,0.39006682547316274,-0.020408992036514632,0.5681492369841009,0.935,187,467.5,2311,0.16222097430857785,328.6327223999979,ok,
184,1,15,60,61432,14651,21,0.7615086599817684,0.23849134001823158,0.37646934189051184,-0.03547795163025588,0.5804498334729983,0.9380952380952381,226,458.0,2300,0.15698587127158556,433.9743718000027,ok,
184,1,20,40,61432,13748,20,0.776207839562443,0.223792160437557,0.41709805791828874,-0.020283990718521987,0.5403207989147638,0.96,202,440.5,2318,0.1686063427407623,332.9380177000021,ok,
184,1,20,50,61432,16199,19,0.7363100664148978,0.2636899335851022,0.3760601979869832,-0.03499515197814292,0.6043016399889843,0.9631578947368421,215,519.0,5690,0.3512562503858263,402.15117530000134,ok,
184,1,20,60,61432,15256,19,0.7516603724443287,0.2483396275556713,0.3872323347115903,-0.015269679841028899,0.5812014987740218,0.9526315789473684,193,510.0,2403,0.157511798636602,394.43920439999783,ok,
184,2,5,40,61432,13472,21,0.7807006120588619,0.21929938794113812,0.4109741855580263,-0.05279920967913729,0.5607694435968765,0.9238095238095239,190,392.0,2408,0.17874109263657958,269.3542615000006,ok,
184,2,5,50,61432,12801,20,0.7916232582367496,0.20837674176325038,0.4030599440944342,-0.050215750479750215,0.5789551390206814,0.92,189,411.0,1936,0.15123818451683463,315.3503736999992,ok,
184,2,5,60,61432,15165,13,0.7531416851152494,0.24685831488475063,0.4131360255338146,-0.07790327504443015,0.5915381066644352,0.9538461538461539,209,759.0,4903,0.3233102538740521,369.3509328,ok,
184,2,10,40,61432,14201,16,0.7688338325302774,0.23116616746972263,0.41649886571707356,-0.011402611180939373,0.538243511960867,0.93125,261,522.0,3238,0.22801211182311104,314.74148400000195,ok,
184,2,10,50,61432,14832,14,0.7585623128011459,0.24143768719885406,0.4081717878425039,-0.03711517932624102,0.6087727184000588,0.9714285714285714,188,678.5,5182,0.3493797195253506,333.6837811000005,ok,
184,2,10,60,61432,12476,19,0.7969136606328949,0.20308633936710507,0.43651385808018905,-0.0036543245225311165,0.5868667244405893,0.9315789473684211,232,462.0,2272,0.1821096505290157,383.2389878000031,ok,
184,2,15,40,61432,12114,18,0.8028063549941399,0.19719364500586012,0.43532332743859026,-0.001088617008637151,0.5618999388491456,0.9666666666666667,233,515.5,2214,0.1827637444279346,329.2052822000005,ok,
184,2,15,50,61432,12843,18,0.7909395754655554,0.20906042453444462,0.39779355114885323,-0.01854788874822875,0.5888903350081529,0.9444444444444444,246,475.0,2515,0.19582652028342287,360.1015054999989,ok,
184,2,15,60,61432,12754,20,0.7923883318140383,0.20761166818596166,0.4104512437784957,-0.004079912488384624,0.575931723132721,0.94,196,418.5,2136,0.16747687000156813,418.01412469999923,ok,
184,2,20,40,61432,15632,17,0.745539783826019,0.25446021617398096,0.38554715224985703,-0.019107320495632296,0.5843905984551866,0.9647058823529412,227,590.0,5801,0.3710977482088025,340.31393169999865,ok,
184,2,20,50,61432,15598,17,0.7460932413074619,0.2539067586925381,0.38858380293501854,-0.018773797691085514,0.567293805238444,0.9823529411764705,202,490.0,5186,0.3324785228875497,387.01680059999853,ok,
184,2,20,60,61432,13115,17,0.7865119156140122,0.21348808438598776,0.4299810719220564,0.013426404705488244,0.5850299425190071,0.9529411764705882,218,750.0,2219,0.1691955775829203,425.97713900000235,ok,
246,1,5,40,61432,20084,15,0.6730694100794374,0.32693058992056256,0.20332591294877805,-0.17222832567217858,0.5340035689572308,0.9066666666666666,303,457.0,9513,0.47366062537343157,305.9481460999996,ok,
246,1,5,50,61432,14784,17,0.7593436645396536,0.24065633546034637,0.3773233427753637,-0.07305640722615463,0.562819046686429,0.9294117647058824,256,600.0,2106,0.1424512987012987,315.7916051000029,ok,
246,1,5,60,61432,14552,14,0.7631201979424405,0.23687980205755954,0.3991852702824915,-0.05957542381639661,0.5471638875269254,0.9285714285714286,321,939.5,1888,0.1297416162726773,177.72454170000128,ok,
246,1,10,40,61432,15779,15,0.7431468941268394,0.25685310587316057,0.3933104928128836,-0.020801190478186488,0.5076442892390314,0.96,347,638.0,3713,0.2353127574624501,85.90191509999931,ok,
246,1,10,50,61432,16726,13,0.7277314754525329,0.2722685245474671,0.39757164861262256,-0.05044788096033948,0.6034054911019808,0.9769230769230769,340,801.0,5695,0.34048786320698315,98.43191579999984,ok,
246,1,10,60,61432,15311,18,0.7507650735772887,0.24923492642271128,0.36804215291105685,-0.04308386978963431,0.5565029057946612,0.9277777777777778,269,580.5,2692,0.1758213049441578,112.9693514999999,ok,
246,1,15,40,61432,13614,18,0.7783891131657767,0.22161088683422325,0.42073390852195713,-0.014548046926360992,0.5766710819883952,0.9555555555555556,289,577.5,2370,0.1740855002203614,104.77135709999857,ok,
246,1,15,50,61432,14432,18,0.7650735772887095,0.2349264227112905,0.3823648752049755,-0.027774474011725316,0.6017073504868277,0.9388888888888889,301,542.0,2794,0.19359756097560976,118.8399242000014,ok,
246,1,15,60,61432,14429,17,0.7651224117723662,0.23487758822763383,0.38950799161423844,-0.031683056040948156,0.5271096776724193,0.9529411764705882,286,575.0,2300,0.1594012059047751,133.12290209999992,ok,
246,1,20,40,61432,17390,16,0.7169227764031775,0.2830772235968225,0.3696878649574436,-0.038737033124948646,0.5590488887909086,0.98125,285,693.5,6318,0.3633122484186314,108.8717882000019,ok,
246,1,20,50,61432,17564,17,0.7140903763510874,0.2859096236489126,0.37635333447136343,-0.03481939062391256,0.5797680714632961,0.9764705882352941,258,547.0,5690,0.32395809610567067,118.79764040000009,ok,
246,1,20,60,61432,14849,17,0.7582855840604246,0.24171441593957543,0.41893455012036973,-0.0028055734289921886,0.5631718455825869,0.9411764705882353,250,874.0,2403,0.16182907939928615,123.22566510000252,ok,
246,2,5,40,61432,14540,18,0.7633155358770674,0.23668446412293265,0.42204044469595997,-0.0861386660532428,0.5442962047212965,0.9111111111111111,247,426.0,2678,0.18418156808803302,83.53583770000114,ok,
246,2,5,50,61432,14348,14,0.7664409428310978,0.23355905716890224,0.3564296436075715,-0.06820674638229803,0.5678590695594475,0.9785714285714285,295,872.0,2862,0.19947030945079453,95.80622539999968,ok,
246,2,5,60,61432,12836,14,0.7910535225940878,0.2089464774059122,0.41256543892602315,-0.0451227267840907,0.5784322666791838,0.9285714285714286,261,802.0,1734,0.1350888127142412,104.77524429999903,ok,
246,2,10,40,61432,14201,16,0.7688338325302774,0.23116616746972263,0.41649886571707356,-0.011402611180939373,0.538243511960867,0.93125,261,522.0,3238,0.22801211182311104,89.58838420000029,ok,
246,2,10,50,61432,15007,13,0.7557136345878369,0.2442863654121631,0.4063996141293922,-0.03598323046240706,0.6211449486921732,0.9692307692307692,301,735.0,5182,0.3453055240887586,106.24981190000108,ok,
246,2,10,60,61432,16578,13,0.7301406433129314,0.2698593566870686,0.41582239515919206,-0.07182403369453078,0.5513039086171914,0.9769230769230769,252,733.0,5169,0.3117987694534926,119.34072219999871,ok,
246,2,15,40,61432,12165,17,0.8019761687719755,0.19802383122802447,0.4503513808210563,-0.0005707698352244472,0.5360249606833779,0.9647058823529412,262,524.0,2214,0.18199753390875462,99.71205090000149,ok,
246,2,15,50,61432,12843,18,0.7909395754655554,0.20906042453444462,0.39779355114885323,-0.01854788874822875,0.5888903350081529,0.9444444444444444,246,475.0,2515,0.19582652028342287,118.90504349999901,ok,
246,2,15,60,61432,12532,16,0.796002083604636,0.20399791639536402,0.4417850181984635,-0.008651621763500757,0.5218216817232901,0.925,246,585.5,2136,0.17044366421959783,126.62785609999992,ok,
246,2,20,40,61432,15569,15,0.7465653079828103,0.2534346920171897,0.39706066776419013,-0.017423671671244895,0.5615420507474405,0.9733333333333334,261,699.0,5801,0.3725993962361102,98.56990150000274,ok,
246,2,20,50,61432,15621,14,0.745718843599427,0.254281156400573,0.3904745050053506,-0.018414052484425122,0.6161164451522191,0.9714285714285714,276,627.5,5186,0.3319889891812304,112.9177114999984,ok,
246,2,20,60,61432,14176,14,0.7692407865607501,0.23075921343924988,0.44059641366265645,0.003595962608200865,0.580383340149114,0.9785714285714285,314,789.0,2954,0.2083803611738149,130.93732620000083,ok,
307,1,5,40,61432,16673,16,0.7285942179971351,0.2714057820028649,0.3931902538099487,-0.112866718227017,0.5426909363192894,0.91875,311,809.0,2931,0.17579319858453787,88.36094410000078,ok,
307,1,5,50,61432,16108,14,0.7377913790858185,0.2622086209141815,0.35763495736938516,-0.09322498006923509,0.5532162393690809,0.9857142857142858,341,1008.0,3027,0.18791904643655327,100.241757900003,ok,
307,1,5,60,61432,14552,14,0.7631201979424405,0.23687980205755954,0.3991852702824915,-0.05957542381639661,0.5471638875269254,0.9285714285714286,321,939.5,1888,0.1297416162726773,109.75012720000086,ok,
307,1,10,40,61432,15779,15,0.7431468941268394,0.25685310587316057,0.3933104928128836,-0.020801190478186488,0.5076442892390314,0.96,347,638.0,3713,0.2353127574624501,95.79329349999898,ok,
307,1,10,50,61432,16726,13,0.7277314754525329,0.2722685245474671,0.39757164861262256,-0.05044788096033948,0.6034054911019808,0.9769230769230769,340,801.0,5695,0.34048786320698315,104.41189360000135,ok,
307,1,10,60,61432,18677,13,0.695972782914442,0.304027217085558,0.40190416581037025,-0.09277859655243324,0.5242096229400041,0.9769230769230769,322,872.0,5657,0.30288590244685976,122.40389660000073,ok,
