Topic,Words,Frequency,Class
0,"péristyle, comptant, baissier, change, spéculateur",67,L argent.
1,"spéculation, bilan, entreprise, production, collectivisme",131,L argent.
2,"assemblée, liquidation, émission, achat, actionnaire",203,L argent.
3,"vivace, complexe, salissant, épure, dépréciation",33,L argent.
4,"traduction, cote, syndicat, calcaire, guichet",83,L argent.
5,"étranglèrent, apporte, flétri, menaça, promet",6,L argent.
6,"pillerault, filou, saccader, équinoxe, exposant",16,L argent.
7,"aquarelle, dortoir, violée, éclairaient, bûche",20,L argent.
8,"droiture, épure, corsaire, courtage, irrégularité",58,L argent.
9,"anticipé, obligation, bilan, bienfaisance, actionnaire",88,L argent.
10,"devine, fassion, brigandage, juiverie, prête",15,L argent.
11,"infirmerie, créance, visiteuse, embranchement, rubis",32,L argent.
12,"remisier, coulissier, cote, administrateur, ladre",49,L argent.
13,"rédacteur, papeterie, boursier, désintéressement, cristalline",26,L argent.
14,"convenu, contractée, accumulé, manger, raffermir",11,L argent.
15,"méprisante, bouffie, exhalèrent, appauvrie, citronnier",16,L argent.
16,"crémone, précocité, compris, zézayant, intégralité",23,L argent.
17,"liquidateur, report, escroquerie, expert, fondé",22,L argent.
18,"paillasse, étonnée, écartement, vantail, souffleter",9,L argent.
19,"halein, expressif, refluait, profane, initié",17,L argent.
20,"préau, calembour, administrateur, coulissier, confiseur",33,L argent.
21,"camélia, université, rédacteur, russe, panacher",25,L argent.
0,"simoniste, auditoire, paroissial, jury, neuve",24,Verite.
1,"primaire, enseignement, laïque, nation, capucin",394,Verite.
2,"papeterie, certificat, adjoint, municipal, primaire",135,Verite.
3,"visitation, gronderie, impérieu, indélébile, dilection",87,Verite.
4,"révocation, académie, marsoullier, beaumontai, coreligionnaire",91,Verite.
5,"catéchisme, sai, fasse, pense, déférence",100,Verite.
6,"socialiste, sacerdotal, anti, veill, déblaya",16,Verite.
7,"perquisition, judas, abat, calfeutrer, échappât",36,Verite.
8,"mystique, enseignement, éducatrice, frein, désunion",122,Verite.
9,"démoniaque, chasser, socialiste, lision, affliger",37,Verite.
10,"pénitence, soutien, geôle, intangible, déchire",29,Verite.
11,"donateur, notabilité, promoteur, pimpant, opposant",18,Verite.
12,"enseign, reliquaire, tarte, nymphe, square",27,Verite.
13,"rir, distribution, ravie, violateur, nuageux",20,Verite.
14,"chérubin, étranglaient, mensonger, fluet, indestructible",2,Verite.
15,"gentille, catéchisme, lithographe, belliqueux, reposant",33,Verite.
16,"fille, banquet, déjeunon, préméditer, patache",50,Verite.
17,"paraphe, cachet, version, juré, jury",204,Verite.
18,"marsoullier, fille, taire, fortuit, devenue",23,Verite.
19,"imbécillité, exécrée, abêtie, frasque, souffrît",31,Verite.
20,"règne, gaufrer, turbulent, dîné, méfait",10,Verite.
21,"pommette, saillant, jovial, procureur, avancement",50,Verite.
0,"abside, brodeur, orgue, chœur, chasuble",87,Le reve.
1,"bourreau, colombe, mamelle, macule, persécuteur",13,Le reve.
2,"ensuble, vélin, itinéraire, brodeuse, discernement",19,Le reve.
3,"brodeur, prie, renoncement, orme, boutant",99,Le reve.
4,"coquemar, invocation, récita, décontenancé, captif",5,Le reve.
5,"angélique, marieron, défaillit, blesse, réfléchi",19,Le reve.
6,"fief, cens, cest, tourmenteur, succomb",4,Le reve.
7,"sacrement, perse, bahut, coffre, écheveau",24,Le reve.
8,"chape, chasuble, désespéra, tutelle, mi",25,Le reve.
9,"numéroter, remercie, extrait, émotionna, écrou",7,Le reve.
10,"vitrail, revenir, supplie, espérai, courtine",27,Le reve.
11,"nué, rinçage, broderie, aiguillée, cheville",16,Le reve.
12,"estoit, thuriféraire, navette, dragon, encensoir",10,Le reve.
13,"brodeur, vite, certificat, illisible, anniversaire",4,Le reve.
14,"dyable, basin, rassure, estoit, usuel",6,Le reve.
15,"brodeuse, anneau, mystique, archange, agneau",52,Le reve.
16,"fleuriste, questionner, domui, huic, débarrassa",16,Le reve.
17,"officieux, tutelle, tuteur, verbal, testamentaire",3,Le reve.
18,"livret, nimbe, poignait, mortification, brodeus",16,Le reve.
19,"revenez, réchaufferai, aiguillée, brocart, agile",5,Le reve.
20,"verrier, mitre, broderie, coloré, piédestal",7,Le reve.
21,"jusque, nombril, tors, laïc, pacte",2,Le reve.
0,"galet, falaise, épi, plage, algue",33,La joie de vivre.
1,"soude, potassium, composé, bromure, algue",16,La joie de vivre.
2,"charpentier, devis, algue, subvention, préparateur",71,La joie de vivre.
3,"abnégation, excitation, charnel, prévenance, déséquilibré",104,La joie de vivre.
4,"diète, gratte, potion, gruau, flotte",8,La joie de vivre.
5,"enterrerai, touche, tophus, morphine, rende",38,La joie de vivre.
