roman,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1865 La confession de Claude.,0,79,11,278,2,1,68,9,35,21,6,49,38,6,0,7,6,33
1866 Le voeu d une morte.,0,25,5,16,5,32,53,13,143,84,3,26,58,10,5,9,18,14
1867 Les mysteres de Marseille.,0,45,27,36,211,194,131,29,112,152,23,32,121,225,66,131,139,25
1867 Therese Raquin.,0,41,6,76,10,43,228,33,159,95,12,48,4,9,15,10,16,122
1868 Madeleine Ferat.,0,86,9,188,5,44,201,27,363,107,21,76,43,23,14,7,35,91
Au Bonheur des dames.,1,315,41,35,41,250,105,304,113,487,126,88,51,29,27,108,32,15
Fecondite.,0,143,435,184,45,274,214,210,342,519,64,155,152,78,94,176,74,101
Germinal.,0,157,136,80,193,109,192,431,83,162,496,43,19,55,60,104,92,39
L argent.,2,131,207,30,48,498,65,94,117,260,102,66,45,114,82,170,111,6
L assommoir.,0,176,4,38,30,58,214,1138,55,190,176,62,26,13,7,96,18,14
L oeuvre.,1,269,120,115,34,145,164,175,163,232,108,115,25,46,44,61,112,49
La bete humaine.,0,95,19,147,105,76,253,111,250,212,193,45,27,48,162,36,46,51
La conquete de Plassans.,0,53,9,90,21,42,168,157,43,406,24,41,69,237,18,139,100,15
La curee.,0,267,7,74,17,218,100,90,75,266,40,164,9,29,14,78,39,40
La debacle.,2,189,107,77,1095,96,235,168,96,174,200,32,51,70,45,64,92,20
La faute de l abbe Mouret.,0,382,42,203,7,13,184,111,168,70,80,112,58,90,7,53,46,67
La fortune des Rougon.,0,140,46,74,217,158,122,135,85,86,83,82,14,55,31,69,179,90
La joie de vivre.,0,57,48,138,11,118,399,184,217,220,62,41,27,21,16,56,29,45
La terre.,1,127,82,113,128,218,192,579,126,209,160,63,14,70,56,172,118,24
Le docteur Pascal.,1,130,216,185,8,81,210,59,253,174,30,89,54,31,34,39,52,40
Le reve.,0,176,43,46,5,31,106,47,189,66,31,104,58,23,11,13,20,33
Le ventre de Paris.,1,307,17,42,42,84,120,354,32,173,77,115,10,36,31,90,70,20
Lourdes.,0,355,283,50,59,69,254,85,250,338,142,124,167,135,77,66,110,34
Nana.,0,201,17,104,47,74,174,343,90,603,85,141,16,32,23,79,28,19
Paris.,0,159,411,150,63,125,99,59,201,292,109,119,106,187,192,75,238,51
Pot-bouille.,0,66,16,71,15,102,245,318,97,586,37,74,49,41,32,154,55,21
Rome.,1,639,793,64,25,111,156,24,195,187,51,157,119,450,132,48,299,59
Son Excellence Eugene Rougon.,0,144,44,12,72,96,111,115,49,446,76,101,41,213,50,91,143,22
Travail.,2,191,818,150,53,239,122,143,245,158,200,74,76,86,72,110,133,95
Une page d amour.,0,197,4,77,5,10,268,98,157,375,18,85,57,17,10,34,6,39
Verite.,1,55,531,245,36,208,124,71,222,238,38,72,130,152,496,65,543,45
