roman,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1865 La confession de Claude.,0.0,0.12172573189522343,0.01694915254237288,0.4283513097072419,0.0030816640986132513,0.0015408320493066256,0.10477657935285054,0.01386748844375963,0.053929121725731895,0.032357473035439135,0.009244992295839754,0.07550077041602465,0.05855161787365177,0.009244992295839754,0.0,0.01078582434514638,0.009244992295839754,0.05084745762711865
1866 Le voeu d une morte.,0.0,0.04816955684007707,0.009633911368015413,0.030828516377649325,0.009633911368015413,0.06165703275529865,0.10211946050096339,0.025048169556840076,0.27552986512524086,0.16184971098265896,0.005780346820809248,0.05009633911368015,0.11175337186897881,0.019267822736030827,0.009633911368015413,0.017341040462427744,0.03468208092485549,0.02697495183044316
1867 Les mysteres de Marseille.,0.0,0.026486168334314303,0.015891701000588582,0.02118893466745144,0.12419070041200707,0.11418481459682166,0.07710417892878163,0.017068864037669218,0.0659211300765156,0.0894643908181283,0.01353737492642731,0.01883460859329017,0.07121836374337846,0.13243084167157151,0.03884638022366098,0.07710417892878163,0.08181283107710417,0.014714537963507945
1867 Therese Raquin.,0.0,0.04422869471413161,0.006472491909385114,0.08198489751887811,0.010787486515641856,0.04638619201725998,0.2459546925566343,0.03559870550161812,0.1715210355987055,0.10248112189859762,0.012944983818770227,0.05177993527508091,0.004314994606256742,0.009708737864077669,0.016181229773462782,0.010787486515641856,0.017259978425026967,0.13160733549083065
1868 Madeleine Ferat.,0.0,0.06417910447761194,0.006716417910447761,0.14029850746268657,0.0037313432835820895,0.03283582089552239,0.15,0.020149253731343283,0.2708955223880597,0.07985074626865672,0.015671641791044775,0.056716417910447764,0.03208955223880597,0.017164179104477612,0.010447761194029851,0.0052238805970149255,0.026119402985074626,0.06791044776119402
Au Bonheur des dames.,0.00046125461254612545,0.14529520295202952,0.018911439114391145,0.01614391143911439,0.018911439114391145,0.11531365313653137,0.04843173431734318,0.14022140221402213,0.05212177121771218,0.2246309963099631,0.058118081180811805,0.04059040590405904,0.0235239852398524,0.013376383763837638,0.012453874538745387,0.04981549815498155,0.014760147601476014,0.006918819188191882
Fecondite.,0.0,0.04386503067484662,0.1334355828220859,0.05644171779141104,0.013803680981595092,0.08404907975460123,0.0656441717791411,0.06441717791411043,0.1049079754601227,0.15920245398773006,0.0196319018404908,0.04754601226993865,0.046625766871165646,0.02392638036809816,0.02883435582822086,0.053987730061349694,0.022699386503067485,0.03098159509202454
Germinal.,0.0,0.06405548755609955,0.0554875560995512,0.032639738882088945,0.07874337005303958,0.044471644226846185,0.07833537331701346,0.17584659322725418,0.03386372909016728,0.06609547123623011,0.20236638106895144,0.017543859649122806,0.007751937984496124,0.022439820481436147,0.02447980416156671,0.04243166054671563,0.037535699714402286,0.01591187270501836
L argent.,0.000931098696461825,0.06098696461824953,0.09636871508379888,0.013966480446927373,0.0223463687150838,0.23184357541899442,0.03026070763500931,0.043761638733705775,0.05446927374301676,0.12104283054003724,0.04748603351955307,0.030726256983240222,0.02094972067039106,0.05307262569832402,0.038175046554934824,0.07914338919925512,0.051675977653631286,0.002793296089385475
L assommoir.,0.0,0.07602591792656588,0.0017278617710583153,0.016414686825053995,0.012958963282937365,0.025053995680345574,0.09244060475161987,0.4915766738660907,0.023758099352051837,0.08207343412526998,0.07602591792656588,0.02678185745140389,0.01123110151187905,0.005615550755939525,0.003023758099352052,0.04146868250539957,0.007775377969762419,0.006047516198704104
L oeuvre.,0.0005055611729019212,0.13599595551061677,0.06066734074823053,0.05813953488372093,0.017189079878665317,0.07330637007077856,0.08291203235591507,0.0884732052578362,0.08240647118301314,0.1172901921132457,0.054600606673407485,0.05813953488372093,0.012639029322548028,0.023255813953488372,0.022244691607684528,0.03083923154701719,0.056622851365015166,0.024772497472194135
