min_cluster_size,min_samples,n_components,n_neighbors,n_documents,n_assigned,n_topics,outlier_rate,coverage,silhouette_umap,dbcv,coherence_cv,topic_diversity,min_topic_size_observed,median_topic_size,max_topic_size_observed,largest_topic_share,duration_seconds,status,error,coherence_rank,silhouette_rank,diversity_rank,coverage_rank,balance_rank,dbcv_rank,score_global
120,5,10,25,5327,2119,6,0.60221513046743,0.39778486953257,0.3664174637711611,0.0687116076827528,0.488969175515126,1.0,120,281.0,814,0.3841434638980651,6.943350749999809,ok,,0.9807692307692307,0.7115384615384616,0.9615384615384616,0.3269230769230769,0.3269230769230769,0.9230769230769231,0.7846153846153845
20,10,5,10,5327,2013,29,0.622113760090107,0.377886239909893,0.4290009010903051,0.103311132087032,0.4705050224485706,0.9448275862068966,24,49.0,225,0.1117734724292101,5.234909957998752,ok,,0.8653846153846154,0.9807692307692307,0.34615384615384615,0.15384615384615385,0.9038461538461539,0.9807692307692307,0.7605769230769232
80,5,10,25,5327,2213,7,0.5845691758963769,0.4154308241036231,0.344851481154402,0.0640454535599746,0.5033794712990038,1.0,94,201.0,814,0.3678264798915499,6.948838125001203,ok,,1.0,0.5,0.9615384615384616,0.36538461538461536,0.34615384615384615,0.8846153846153846,0.7480769230769231
20,10,10,10,5327,2070,25,0.6114135535948939,0.3885864464051061,0.4385975631613157,0.1035488820901243,0.4558103043610942,0.964,20,49.0,543,0.2623188405797101,5.351119083999947,ok,,0.6730769230769231,1.0,0.5576923076923077,0.28846153846153844,0.40384615384615385,1.0,0.7048076923076924
80,1,5,50,5327,2369,12,0.5552844002252675,0.4447155997747325,0.3597801117838344,-0.1141626935607902,0.4825716997569017,0.9833333333333332,89,196.5,329,0.1388771633600675,9.117573374998756,ok,,0.9423076923076923,0.6923076923076923,0.8365384615384616,0.5,0.6923076923076923,0.17307692307692307,0.6918269230769232
40,5,5,10,5327,2251,22,0.5774357048995682,0.4225642951004318,0.3730376215992878,0.0362599743491663,0.4645624095547901,0.9363636363636364,41,77.5,290,0.1288316303864949,5.003306875001726,ok,,0.8269230769230769,0.75,0.3076923076923077,0.40384615384615385,0.75,0.7884615384615384,0.6778846153846154
120,1,5,50,5327,2509,8,0.5290031912896564,0.4709968087103435,0.3892592606919219,-0.1240401021780463,0.4766170061610853,0.975,174,275.5,588,0.2343563172578716,9.184622417000355,ok,,0.9038461538461539,0.8269230769230769,0.6634615384615384,0.6538461538461539,0.5384615384615384,0.1346153846153846,0.6754807692307693
20,5,10,25,5327,1891,24,0.6450159564482824,0.3549840435517176,0.4116003234680699,0.087559097703856,0.4596218634784379,0.9541666666666668,21,36.0,457,0.2416710735060814,7.537151458000153,ok,,0.7692307692307693,0.9423076923076923,0.40384615384615385,0.038461538461538464,0.46153846153846156,0.9615384615384616,0.6740384615384616
40,10,10,50,5327,1948,8,0.6343157499530693,0.3656842500469307,0.3920162108374711,-0.0139693950960757,0.4887400000336796,0.95,45,145.0,698,0.3583162217659137,9.543127707998792,ok,,0.9615384615384616,0.8653846153846154,0.38461538461538464,0.057692307692307696,0.36538461538461536,0.6538461538461539,0.6596153846153846
120,5,5,50,5327,1986,7,0.6271822789562606,0.3728177210437394,0.4148277388776562,-0.0422863727178947,0.4607455703824732,0.9714285714285714,169,198.0,510,0.256797583081571,8.984985082999629,ok,,0.8076923076923077,0.9615384615384616,0.6057692307692307,0.11538461538461539,0.4230769230769231,0.4230769230769231,0.6427884615384615
20,5,10,10,5327,2474,40,0.5355734935235592,0.4644265064764408,0.3664608516423178,0.085553013095934,0.4451955230629035,0.93,22,38.5,249,0.1006467259498787,5.653296958000283,ok,,0.5384615384615384,0.7307692307692307,0.23076923076923078,0.6346153846153846,0.9423076923076923,0.9423076923076923,0.6413461538461539
40,10,10,10,5327,2467,10,0.5368875539703398,0.4631124460296602,0.2503898062556408,0.0217359861152666,0.4779512603400914,0.99,56,90.0,977,0.396027563842724,5.038721708999219,ok,,0.9230769230769231,0.07692307692307693,0.9038461538461539,0.6153846153846154,0.3076923076923077,0.7692307692307693,0.635576923076923
40,10,5,10,5327,2234,17,0.5806269945560353,0.4193730054439647,0.4079709049316816,0.0478762686158579,0.4428220033630306,0.9588235294117649,41,75.0,525,0.2350044762757386,4.89152466700034,ok,,0.5192307692307693,0.9230769230769231,0.46153846153846156,0.38461538461538464,0.5192307692307693,0.8076923076923077,0.6211538461538462
80,5,5,25,5327,2018,11,0.6211751454852638,0.3788248545147362,0.4054226174404804,-0.0234367240682079,0.4486745133974416,0.9636363636363636,85,124.0,395,0.1957383548067393,6.734728916999302,ok,,0.5961538461538461,0.8846153846153846,0.5384615384615384,0.19230769230769232,0.5961538461538461,0.5961538461538461,0.6048076923076924
40,10,10,25,5327,2044,6,0.6162943495400789,0.3837056504599211,0.2987759299340629,0.0675667626335257,0.451153149616115,1.0,66,231.5,988,0.4833659491193737,6.9025588749973394,ok,,0.6538461538461539,0.3269230769230769,0.9615384615384616,0.23076923076923078,0.09615384615384616,0.9038461538461539,0.5740384615384616
40,1,10,10,5327,2578,27,0.5160503097428196,0.4839496902571804,0.3564348290808339,-0.0099109717826016,0.4323286540932766,0.9481481481481482,41,83.0,199,0.0771916214119472,5.362051332998817,ok,,0.38461538461538464,0.6538461538461539,0.36538461538461536,0.7307692307692307,0.9807692307692307,0.6730769230769231,0.573076923076923
120,10,10,10,5327,2278,5,0.5723671860334146,0.4276328139665853,0.3173933510964442,0.0087675799854589,0.4566647888717524,0.98,153,350.0,977,0.4288849868305531,4.763398416998825,ok,,0.6923076923076923,0.38461538461538464,0.75,0.4423076923076923,0.23076923076923078,0.7115384615384616,0.5711538461538461
120,5,5,10,5327,2737,7,0.4862023653088042,0.5137976346911958,0.3234130888190196,-0.0795806733765936,0.4584222431760679,0.9714285714285714,159,281.0,788,0.2879064669345999,4.690487040999869,ok,,0.75,0.4423076923076923,0.6057692307692307,0.7884615384615384,0.38461538461538464,0.25,0.5591346153846154
80,1,5,25,5327,2769,11,0.4801952318378074,0.5198047681621927,0.3503674968890988,-0.1439521351499127,0.4567321240351247,0.9545454545454546,85,215.0,475,0.1715420729505236,6.7881746659986675,ok,,0.7115384615384616,0.5576923076923077,0.4230769230769231,0.8269230769230769,0.6538461538461539,0.09615384615384616,0.5509615384615385
80,1,10,10,5327,2328,15,0.5629810399849822,0.4370189600150178,0.355629252155315,-0.0259263717735272,0.4270747313888023,0.9866666666666668,83,137.0,289,0.1241408934707903,5.029621624998981,ok,,0.25,0.6346153846153846,0.8846153846153846,0.46153846153846156,0.8653846153846154,0.5576923076923077,0.5509615384615384
120,1,5,25,5327,2850,9,0.4649896752393467,0.5350103247606532,0.3483575953235864,-0.1535361454516486,0.4703199207240066,0.9222222222222224,165,271.0,555,0.1947368421052631,6.752364166000916,ok,,0.8461538461538461,0.5192307692307693,0.15384615384615385,0.8846153846153846,0.6153846153846154,0.057692307692307696,0.539423076923077
80,1,10,25,5327,2452,14,0.5397033977848695,0.4602966022151304,0.3100090515954997,-0.0759136782994081,0.4570406426851691,0.9571428571428572,81,146.0,311,0.1268352365415987,7.182161708002241,ok,,0.7307692307692307,0.34615384615384615,0.4423076923076923,0.5961538461538461,0.8076923076923077,0.28846153846153844,0.5384615384615384
