roman,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1865 La confession de Claude.,2,3,2,0,2,13,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,1,32,0,0,0,2,0,0
1866 Le voeu d une morte.,7,15,3,0,1,1,2,0,0,0,6,0,1,0,0,1,1,3,2,0,0,3,3,1,1,1,0,8,0
1867 Les mysteres de Marseille.,12,8,2,3,4,1,30,22,18,1,11,1,7,1,7,9,1,3,3,5,3,10,0,7,8,1,1,3,2
1867 Therese Raquin.,8,16,2,0,5,5,1,1,0,1,3,3,12,2,4,2,3,1,2,0,0,7,1,0,0,0,0,1,0
1868 Madeleine Ferat.,12,41,4,1,5,13,1,4,0,0,3,3,3,1,5,2,1,0,4,0,0,7,4,2,2,0,0,5,1
Au Bonheur des dames.,5,7,9,1,38,2,8,1,1,16,5,10,3,2,3,8,17,11,2,0,8,3,1,12,9,0,7,4,5
Fecondite.,14,29,6,14,20,5,9,8,0,5,15,6,4,5,12,6,3,11,7,3,3,13,3,5,18,18,2,13,2
Germinal.,12,11,5,11,7,4,8,5,9,26,1,35,13,10,6,13,8,1,9,0,12,1,0,4,7,2,1,4,0
L argent.,2,5,2,6,19,0,11,6,2,7,5,3,2,0,4,12,4,6,2,2,8,8,0,3,2,4,3,1,26
L assommoir.,27,7,2,0,25,1,5,0,1,53,2,9,12,17,4,3,9,3,12,0,9,5,0,9,2,1,8,1,1
L oeuvre.,13,16,4,5,18,5,8,2,1,13,4,11,1,9,2,14,8,4,2,0,3,4,3,6,2,1,0,3,1
La bete humaine.,8,18,3,1,8,10,3,1,5,6,0,10,7,4,0,5,5,4,7,9,11,6,3,13,1,0,2,4,0
La conquete de Plassans.,19,3,1,0,11,0,14,31,3,4,6,0,1,1,2,7,0,22,7,1,4,6,0,10,5,0,4,3,0
La curee.,9,12,16,1,12,2,8,2,1,3,0,0,1,0,7,7,5,4,10,0,0,5,0,3,3,0,5,3,4
La debacle.,11,11,7,2,2,4,2,7,76,16,6,11,16,7,5,3,2,1,7,0,7,2,1,6,6,1,0,2,0
La faute de l abbe Mouret.,11,21,17,0,3,16,5,2,0,6,9,6,14,4,3,3,3,3,13,0,1,3,7,5,2,5,4,4,1
La fortune des Rougon.,15,12,12,2,3,3,7,3,15,8,2,3,7,2,17,10,5,3,2,1,3,10,0,2,3,2,1,1,0
La joie de vivre.,46,26,0,3,7,6,2,3,1,7,3,4,8,4,8,1,0,1,7,0,1,8,2,5,1,2,2,6,0
La terre.,21,5,3,10,4,5,7,5,3,42,2,17,17,6,11,6,5,3,9,1,16,4,1,10,3,3,1,2,0
Le docteur Pascal.,11,18,7,2,8,9,8,0,0,2,5,4,1,2,6,1,1,4,3,5,0,10,2,12,1,4,1,7,1
Le reve.,7,22,8,1,4,3,0,0,0,1,4,2,3,0,4,0,0,0,0,0,0,4,6,1,0,7,3,2,0
Le ventre de Paris.,11,3,8,2,13,0,6,2,1,5,0,4,4,16,6,8,16,3,9,2,2,3,0,6,3,0,1,2,0
Lourdes.,13,25,12,12,7,1,3,5,3,2,13,9,10,4,0,7,10,8,1,3,9,4,2,3,10,13,1,8,0
Nana.,25,9,6,0,25,2,3,7,0,21,3,0,3,6,2,4,16,13,25,0,18,9,1,7,8,0,5,5,2
Paris.,13,16,10,19,6,11,11,18,1,3,8,7,3,1,5,19,7,5,1,6,8,3,2,3,8,7,2,1,2
Pot-bouille.,34,4,1,0,39,4,15,2,1,11,4,2,9,5,5,9,3,10,5,0,4,8,0,16,6,0,2,7,1
Rome.,6,22,33,26,7,2,2,30,2,1,8,2,5,1,3,26,5,3,2,5,2,5,1,1,6,12,2,8,3
Son Excellence Eugene Rougon.,15,3,8,3,20,1,20,21,6,12,0,1,6,2,2,11,4,5,0,1,11,6,1,10,5,1,5,9,2
Travail.,7,18,7,41,2,7,6,3,4,9,8,11,5,2,9,7,4,4,6,4,4,9,1,0,5,16,1,8,0
Une page d amour.,37,25,12,0,19,4,4,0,0,2,3,0,8,4,0,0,3,12,5,0,4,2,3,3,4,0,5,7,0
Verite.,14,10,2,37,12,13,10,5,1,5,5,1,3,2,14,20,1,6,8,23,1,9,0,5,5,3,0,11,1
