roman,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1865 La confession de Claude.,0.03076923076923077,0.046153846153846156,0.03076923076923077,0.0,0.03076923076923077,0.2,0.0,0.0,0.0,0.0,0.03076923076923077,0.015384615384615385,0.06153846153846154,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.49230769230769234,0.0,0.0,0.0,0.03076923076923077,0.0,0.0
1866 Le voeu d une morte.,0.11666666666666667,0.25,0.05,0.0,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.0,0.0,0.0,0.1,0.0,0.016666666666666666,0.0,0.0,0.016666666666666666,0.016666666666666666,0.05,0.03333333333333333,0.0,0.0,0.05,0.05,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.13333333333333333,0.0
1867 Les mysteres de Marseille.,0.06521739130434782,0.043478260869565216,0.010869565217391304,0.016304347826086956,0.021739130434782608,0.005434782608695652,0.16304347826086957,0.11956521739130435,0.09782608695652174,0.005434782608695652,0.059782608695652176,0.005434782608695652,0.03804347826086957,0.005434782608695652,0.03804347826086957,0.04891304347826087,0.005434782608695652,0.016304347826086956,0.016304347826086956,0.02717391304347826,0.016304347826086956,0.05434782608695652,0.0,0.03804347826086957,0.043478260869565216,0.005434782608695652,0.005434782608695652,0.016304347826086956,0.010869565217391304
1867 Therese Raquin.,0.1,0.2,0.025,0.0,0.0625,0.0625,0.0125,0.0125,0.0,0.0125,0.0375,0.0375,0.15,0.025,0.05,0.025,0.0375,0.0125,0.025,0.0,0.0,0.0875,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0
1868 Madeleine Ferat.,0.0967741935483871,0.33064516129032256,0.03225806451612903,0.008064516129032258,0.04032258064516129,0.10483870967741936,0.008064516129032258,0.03225806451612903,0.0,0.0,0.024193548387096774,0.024193548387096774,0.024193548387096774,0.008064516129032258,0.04032258064516129,0.016129032258064516,0.008064516129032258,0.0,0.03225806451612903,0.0,0.0,0.056451612903225805,0.03225806451612903,0.016129032258064516,0.016129032258064516,0.0,0.0,0.04032258064516129,0.008064516129032258
Au Bonheur des dames.,0.025252525252525252,0.03535353535353535,0.045454545454545456,0.005050505050505051,0.1919191919191919,0.010101010101010102,0.04040404040404041,0.005050505050505051,0.005050505050505051,0.08080808080808081,0.025252525252525252,0.050505050505050504,0.015151515151515152,0.010101010101010102,0.015151515151515152,0.04040404040404041,0.08585858585858586,0.05555555555555555,0.010101010101010102,0.0,0.04040404040404041,0.015151515151515152,0.005050505050505051,0.06060606060606061,0.045454545454545456,0.0,0.03535353535353535,0.020202020202020204,0.025252525252525252
Fecondite.,0.05405405405405406,0.11196911196911197,0.023166023166023165,0.05405405405405406,0.07722007722007722,0.019305019305019305,0.03474903474903475,0.03088803088803089,0.0,0.019305019305019305,0.05791505791505792,0.023166023166023165,0.015444015444015444,0.019305019305019305,0.04633204633204633,0.023166023166023165,0.011583011583011582,0.04247104247104247,0.02702702702702703,0.011583011583011582,0.011583011583011582,0.05019305019305019,0.011583011583011582,0.019305019305019305,0.0694980694980695,0.0694980694980695,0.007722007722007722,0.05019305019305019,0.007722007722007722
Germinal.,0.05333333333333334,0.04888888888888889,0.022222222222222223,0.04888888888888889,0.03111111111111111,0.017777777777777778,0.035555555555555556,0.022222222222222223,0.04,0.11555555555555555,0.0044444444444444444,0.15555555555555556,0.057777777777777775,0.044444444444444446,0.02666666666666667,0.057777777777777775,0.035555555555555556,0.0044444444444444444,0.04,0.0,0.05333333333333334,0.0044444444444444444,0.0,0.017777777777777778,0.03111111111111111,0.008888888888888889,0.0044444444444444444,0.017777777777777778,0.0
L argent.,0.012903225806451613,0.03225806451612903,0.012903225806451613,0.03870967741935484,0.12258064516129032,0.0,0.07096774193548387,0.03870967741935484,0.012903225806451613,0.04516129032258064,0.03225806451612903,0.01935483870967742,0.012903225806451613,0.0,0.025806451612903226,0.07741935483870968,0.025806451612903226,0.03870967741935484,0.012903225806451613,0.012903225806451613,0.05161290322580645,0.05161290322580645,0.0,0.01935483870967742,0.012903225806451613,0.025806451612903226,0.01935483870967742,0.0064516129032258064,0.16774193548387098
L assommoir.,0.11842105263157894,0.03070175438596491,0.008771929824561403,0.0,0.10964912280701754,0.0043859649122807015,0.021929824561403508,0.0,0.0043859649122807015,0.2324561403508772,0.008771929824561403,0.039473684210526314,0.05263157894736842,0.07456140350877193,0.017543859649122806,0.013157894736842105,0.039473684210526314,0.013157894736842105,0.05263157894736842,0.0,0.039473684210526314,0.021929824561403508,0.0,0.039473684210526314,0.008771929824561403,0.0043859649122807015,0.03508771929824561,0.0043859649122807015,0.0043859649122807015
